,2LiS,Li2S,Li2S2,Li2S3,Li2S4,Li2S5,Li2S6,Li2S7,Li2S8,LiS,LiS2,LiS3,LiS4,LiS5,LiS6,LiS7,S,S2,S3,S5,S8,target
17,0,1,2,0,2,0,0,1,1,3,1,1,0,1,0,1,1,1,0,0,1,0
17,0,1,2,1,2,0,0,0,1,3,2,1,1,0,0,0,1,1,0,0,1,0
17,0,1,1,0,2,0,1,0,1,3,3,1,0,0,0,0,2,1,0,0,1,0
17,0,1,2,0,2,0,1,0,1,3,3,1,0,0,0,0,1,1,0,0,1,0
17,0,1,1,0,2,0,1,0,1,3,3,1,0,0,0,0,2,1,0,0,1,0
17,0,1,2,0,2,0,1,0,1,3,3,1,0,0,0,0,1,1,0,0,1,0
17,0,1,2,0,2,1,0,0,1,4,2,1,0,0,0,0,1,1,0,0,1,0
17,1,1,2,0,2,1,0,0,1,4,2,1,0,0,0,0,0,1,0,0,1,0
17,0,1,1,0,2,1,0,0,1,3,2,2,0,0,0,0,1,2,0,0,1,0
17,0,1,2,0,2,1,0,0,1,3,2,2,0,0,0,0,0,2,0,0,1,0
17,0,1,2,0,2,1,0,0,1,4,1,2,0,0,0,0,1,1,0,0,1,0
17,0,1,1,1,2,1,0,0,1,3,2,2,0,0,0,0,1,1,0,0,1,0
17,0,1,2,1,2,1,0,0,1,3,2,2,0,0,0,0,0,1,0,0,1,0
17,0,1,1,1,2,1,0,0,1,4,2,1,0,0,0,0,1,1,0,0,1,0
17,0,1,2,1,2,1,0,0,1,4,2,1,0,0,0,0,0,1,0,0,1,0
17,0,1,3,0,2,1,0,0,1,4,2,1,0,0,0,0,0,1,0,0,1,0
17,1,1,1,1,2,1,0,0,1,3,2,2,0,0,0,0,0,1,0,0,1,0
17,0,1,0,1,2,1,0,0,1,3,2,2,0,0,0,0,2,1,0,0,1,0
17,0,1,1,1,2,1,0,0,1,3,2,2,0,0,0,0,1,1,0,0,1,0
17,0,1,1,0,2,1,1,0,1,4,2,1,0,0,0,0,1,1,0,0,1,0
17,0,1,0,0,2,1,1,0,1,4,2,1,0,0,0,0,2,1,0,0,1,0
17,0,1,2,0,2,0,0,1,1,4,1,1,0,1,0,0,1,1,0,0,1,0
17,0,1,2,0,2,0,0,1,1,3,2,2,0,0,0,0,0,2,0,0,1,0
17,0,1,0,0,2,0,1,1,1,4,2,1,0,0,0,0,2,1,0,0,1,0
17,0,1,1,0,2,0,1,1,1,4,2,1,0,0,0,0,1,1,0,0,1,0
17,0,1,0,0,2,1,0,1,1,4,2,1,0,0,0,0,2,1,0,0,1,0
17,0,1,1,0,2,1,0,1,1,4,2,1,0,0,0,0,1,1,0,0,1,0
17,0,1,2,0,2,0,0,1,1,4,2,1,0,0,0,0,1,1,0,0,1,0
17,1,1,2,0,2,0,0,1,1,4,2,1,0,0,0,0,0,1,0,0,1,0
17,0,1,1,0,2,0,0,1,1,3,2,2,0,0,0,0,1,2,0,0,1,0
17,0,1,1,1,2,0,0,1,1,3,2,2,0,0,0,0,1,1,0,0,1,0
17,0,1,1,0,2,0,0,1,1,4,1,1,0,1,0,0,2,1,0,0,1,0
17,0,1,2,1,2,0,0,1,1,3,2,2,0,0,0,0,0,1,0,0,1,0
17,0,1,1,1,2,0,0,1,1,4,2,1,0,0,0,0,1,1,0,0,1,0
