structure,total energy(eV)
MoS2_*S8,-603.2930708
MoS2_*Li2S8,-610.8470395
MoS2_*Li2S7,-606.6641962
MoS2_*Li2S6,-602.4350682
MoS2_*Li2S5,-597.162557
MoS2_*Li2S4,-593.5144929
MoS2_*Li2S3,-588.8814615
MoS2_*Li2S2,-584.4246783
MoS2_*LiS7,-602.69573
MoS2_*LiS6,-598.33399
MoS2_*LiS5,-593.74399
MoS2_*LiS4,-589.9442867
MoS2_*LiS3,-585.6063252
MoS2_*LiS2,-580.7525096
MoS2_*LiS,-576.0138181
MoS2_*2LiS,-582.3069372
MoS2_*S,-573.1133418
MoS2_*S2,-577.1774164
MoS2_*S3,-581.6660657
MoS2_*S4,-585.6795208
MoS2_*S5,-589.6981242
MoS2_*S6,-594.0393055
MoS2_*Li2S,-578.2591581
MoS2,-569.75
Li2S,-8.05368437
Li2S2,-13.27015486
Li2S3,-18.09956187
Li2S4,-22.78812475
Li2S5,-27.1625576
Li2S6,-31.53394194
Li2S7,-35.67465671
Li2S8,-39.77130788
S8,-33.5164502
Li,-2.07696799
